nome;nome_abrev
JoséJose;Jos
Maria;Mar
João  Joao;Joa
Ana;Ana
Antônio  Antonio;Ant
Francisca;Fra
Carlos;Car
Adriana;Adr
Paulo;Pau
Juliana;Jul
Pedro;Ped
Lucas;Luc
Fernanda;Fer
Luiz  Luíz;Lui
Patricia  Patrícia;Pat
Aline;Ali
Sandra;San
Gabriel;Gab
Camila;Cam
Rafael;Raf
Amanda;Ama
Daniel;Dan
Bruna;Bru
Jéssica  Jessica;Jes
Leticia  Letícia;Let
Eduardo;Edu
Felipe;Fel
Raimundo;Rai
Vanessa;Van
Rodrigo;Rod
Manoel;Man
Mateus;Mat
Vera;Ver
André  André;And
Vitória  Vitoria;Vit
Larissa;Lar
Fábio  Fabio;Fab
Cláudia  Claudia;Cla
Leonardo;Leo
Beatriz;Bea
Gustavo;Gus
Luana;Lua
Guilherme;Gui
Rita;Rit
Leandro;Lea
Sônia  Sonia;Son
Tiago;Tia
Renata;Ren
Eliane;Eli
Ricardo;Ric
Simone;Sim
Jorge;Jor
Natália  Natalia;Nat
Sebastião  Sebastiao;Seb
Cristiane;Cri
Alexandre;Ale
Roberto;Rob
Débora  Debora;Deb
Édson  Edson;Eds
Rosângela  Rosangela;Ros
Diego;Die
Jaqueline;Jaq
Sérgio  Sergio;Ser
Aparecida;Apa
Thiago;Thi
Terezinha;Ter
Geraldo;Ger
Raquel;Raq
Ângela  Angela;Ang
Vinícius  Vinicius;Vin
Rogério  Rogerio;Rog
Samuel;Sam
Luzía  Luzia;Luz
Ronaldo;Ron
Elaine;Ela
Flávio  Flavio;Fla
Regina;Reg
Ígor  Igor;Igo
Dáiane  Daiane;Dai
Douglas;Dou
Suelí  Sueli;Sue
Daví  Davi;Dav
Isabel;Isa
Jeferson;Jef
Sara;Sar
